key,ru,en
"about.loyalty_types.visits_desc","Каждый визит приближает к подарку: например, каждый 6-й кофе бесплатно. Подходит для сервисов с частыми покупками.","Reward every Nth visit. Perfect for coffee shops and services with frequent purchases."
"about.loyalty_types.visits_title","Счетчик визитов","Visit counter"
"about.mission_text","Мы строим платформу лояльности нового поколения для локальных сетей в странах СНГ. Цель — упростить запуск гибких программ кешбэка, визитов и гибридных сценариев.","We are building the next-gen loyalty platform for local businesses across CIS countries. The goal is to launch cashback, visits and hybrid programs within minutes."
"about.section_contact","Связь и идеи","Contact"
"about.section_focus","Фокус развития","Focus"
"about.section_mission","Миссия","Mission"
"about.title","О проекте LoyaltyLoop","About LoyaltyLoop"
"admin.details_title","Детали Партнера","Partner Details"
"admin.id","ID","ID"
"admin.no_points","Точек нет","No points found"
"admin.table_country","Страна","Country"
"admin.table_owner","Владелец (Тел)","Owner (Phone)"
"admin.title","Управление Партнерами","Partner Management"
"admin.total_clients","Всего Клиентов","Total Clients"
"admin.total_points","Всего Точек","Total Points"
"admin.total_revenue","Общая Выручка","Total Revenue"
"admin.total_transactions","Всего Транзакций","Total Transactions"
"admin.trading_points","Торговые Точки","Trading Points"
"auth.change_number","Изменить номер","Change Number"
"auth.code_label","Код из СМС","SMS Code"
"auth.code_sent","Код отправлен (Смотри логи сервера)","Code sent"
"auth.get_code","Получить код","Get Code"
"auth.login_btn","Войти","Log In"
"auth.phone_label","Номер телефона","Phone Number"
"auth.success","Успешный вход!","Login Success!"
"auth.title","Вход в панель управления","Admin Panel Login"
"common.actions","Действия","Actions"
"common.active","Активен","Active"
"common.add","Добавить","Add"
"common.approve","Одобрить","Approve"
"common.block","Блок","Block"
"common.blocked","Заблокирован","Blocked"
"common.cancel","Отмена","Cancel"
"common.copied","Скопировано","Copied"
"common.create","Создать","Create"
"common.error","Ошибка","Error"
"common.loading","Загрузка...","Loading..."
"common.month","Месяц","Month"
"common.months","Месяцев","Months"
"common.no","Нет","No"
"common.not_selected","Не выбрано","Not selected"
"common.pending","На проверке","Pending"
"common.required","Обязательно","Required"
"common.revenue_chart","Динамика Выручки","Revenue Dynamics"
"common.save","Сохранить","Save"
"common.status","Статус","Status"
"common.status_active","Активен","Active"
"common.status_not_paid","Не оплачена","Not Paid"
"common.unblock","Разблок","Unblock"
"common.week","Неделя","Week"
"common.year","Год","Year"
"common.yes","Да","Yes"
"countries.BY","Беларусь","Belarus"
"countries.KG","Кыргызстан","Kyrgyzstan"
"countries.KZ","Казахстан","Kazakhstan"
"countries.UZ","Узбекистан","Uzbekistan"
"dashboard.add_point","Добавить филиал","Add Branch"
"dashboard.country_label","Страна","Country"
"dashboard.country_placeholder","Выберите страну","Select country"
"dashboard.create_business_btn","Создать Бизнес","Create Business"
"dashboard.create_business_subtitle","У вас пока нет зарегистрированного бизнеса. Создайте его.","You don't have a registered business yet. Create one."
"dashboard.create_business_title","Запустите свою систему лояльности","Launch your Loyalty System"
"dashboard.create_title","Новый филиал","New Branch"
"dashboard.empty","Нет точек. Создайте первую!","No points yet. Create the first one!"
"dashboard.hint_cashback","Например: 5 (начнем с 5%)","E.g.: 5 (start with 5%)"
"dashboard.hint_target","Например: 6 (каждый 6-й бесплатно)","E.g.: 6 (every 6th is free)"
"dashboard.hint_tiered_levels","Будут созданы 3 уровня: Старт ({{base}}%), Серебро ({{mid}}%), Золото ({{max}}%)","3 Levels will be created: Start ({{base}}%), Silver ({{mid}}%), Gold ({{max}}%)"
"dashboard.label_cashback","Начальный Кешбэк (%)","Base Cashback (%)"
"dashboard.label_currency","Валюта","Currency"
"dashboard.label_lvl_gold","Золото (%)","Gold (%)"
"dashboard.label_lvl_silver","Серебро (%)","Silver (%)"
"dashboard.label_lvl_start","Старт (%)","Start (%)"
"dashboard.label_point_name","Название филиала","Branch Name"
"dashboard.label_point_type","Тип заведения","Venue Type"
"dashboard.label_strategy","Стратегия Лояльности","Loyalty Strategy"
"dashboard.label_target","Цель (сколько собрать?)","Target (how many?)"
"dashboard.modal_biz_logo","Ссылка на логотип","Logo URL"
"dashboard.modal_biz_name","Название бизнеса","Business Name"
"dashboard.modal_biz_name_required","Название бизнеса обязательно","Business name is required"
"dashboard.modal_biz_title","Регистрация Компании","Company Registration"
"dashboard.pin_confirm_error","PIN и подтверждение не совпадают","PIN and confirmation do not match"
"dashboard.pin_confirm_label","Подтвердите PIN","Confirm PIN"
"dashboard.pin_hint","PIN нужен для всех критичных действий в админке","PIN protects critical actions in the admin console"
"dashboard.pin_label","PIN владельца (4-12 цифр)","Owner PIN (4-12 digits)"
"dashboard.pin_length_error","PIN должен состоять минимум из 4 цифр","PIN must contain at least 4 digits"
"dashboard.strategies.HYBRID","Смешанная (Баллы + Визиты)","Hybrid (Points + Visits)"
"dashboard.strategies.TIERED_LTV","Накопительная (Кешбэк)","Cashback (Tiered)"
"dashboard.strategies.VISIT_COUNTER","Счетчик (N-й в подарок)","Visits (Nth free)"
"dashboard.table_invite","Инвайт для Кассира","Cashier Invite"
"dashboard.table_name","Название","Name"
"dashboard.table_type","Тип","Type"
"dashboard.title","Мои торговые точки","My Trading Points"
"dashboard.types.COFFEE_SHOP","Кофейня","Coffee Shop"
"dashboard.types.OTHER","Другое","Other"
"dashboard.types.RESTAURANT","Ресторан","Restaurant"
"dashboard.types.RETAIL","Магазин","Retail"
"dashboard.types.SERVICE","Услуги","Service"
"errors.ACCOUNT_FROZEN","Аккаунт временно заморожен","Account is temporarily frozen"
"errors.ALREADY_JOINED","Вы уже присоединены","Already joined"
"errors.BUSINESS_ALREADY_EXISTS","У вас уже есть бизнес","You already have a business"
"errors.BUSINESS_NOT_FOUND","Бизнес не найден","Business not found"
"errors.CARD_NOT_FOUND","Карта лояльности не найдена","Loyalty card not found"
"errors.CODE_EXPIRED","Код истек","Code expired"
"errors.EMAIL_NOT_SET","Добавьте e-mail в профиле, чтобы сбросить PIN","Add email to your profile to reset PIN"
"errors.FORBIDDEN","Доступ запрещен","Access denied"
"errors.INTERNAL_ERROR","Внутренняя ошибка","Internal Error"
"errors.INVALID_AMOUNT","Некорректная сумма операции","Invalid amount"
"errors.INVALID_CODE","Неверный код","Invalid code"
"errors.INVALID_INVITE_CODE","Неверный инвайт код","Invalid invite code"
"errors.INVALID_PHONE","Неверный формат номера","Invalid phone number"
"errors.INVALID_PIN","Неверный PIN","Invalid PIN"
"errors.INVALID_QR_SIGNATURE","Поддельный QR код","Fake QR code"
"errors.INVALID_REQUEST","Ошибка запроса","Invalid request"
"errors.INVALID_RESET_TOKEN","Ссылка для сброса PIN недействительна или истекла","PIN reset link is invalid or expired"
"errors.INVALID_TIER_VALUE","Нельзя использовать отрицательные значения в уровнях","Negative tier values are not allowed"
"errors.LOYALTY_SETTING_NOT_FOUND","Настройки лояльности не найдены","Loyalty settings not found"
"errors.NOT_FOUND","Ресурс не найден","Resource not found"
"errors.POINT_INACTIVE","Торговая точка не активна","Trading point is inactive"
"errors.POINT_NOT_FOUND","Точка не найдена","Point not found"
"errors.QR_EXPIRED","Срок действия QR истек","QR code expired"
"errors.SECURITY_QR_SECRET_MISSING","Критическая ошибка безопасности (QR Secret)","Critical Security Error (QR Secret)"
"errors.SUCCESS","Успешно","Success"
"errors.TOKEN_EXPIRED","Сессия истекла","Session expired"
"errors.TOKEN_INVALID","Ошибка сессии (Токен невалиден)","Session error (Token invalid)"
"errors.UNAUTHORIZED","Требуется авторизация","Unauthorized"
"errors.UNKNOWN_ERROR","Неизвестная ошибка","Unknown error"
"errors.USER_CREATION_FAILED","Ошибка создания пользователя","User creation failed"
"errors.USER_NOT_FOUND","Пользователь не найден","User not found"
"history.empty","Транзакций пока нет","No transactions yet"
"history.table_amount","Сумма","Amount"
"history.table_bonus","Бонусы","Bonus"
"history.table_date","Дата","Date"
"history.table_point","Точка","Point"
"history.table_type","Тип","Type"
"history.title","История Транзакций","Transaction History"
"history.type_earn","Покупка (Начисление)","Purchase (Earn)"
"history.type_spend","Списание","Redeem"
"history.type_visit","Визит (+1)","Visit (+1)"
"join_partner.code_label","Код приглашения","Invite Code"
"join_partner.info","После успешного присоединения вам будут доступны разделы персонала и аналитики конкретного партнёра.","After joining you will gain access to staff, analytics and other partner tools."
"join_partner.submit","Присоединиться","Join"
"join_partner.subtitle","Введите код приглашения менеджера от владельца бизнеса.","Enter the invite code provided by the business owner."
"join_partner.success","Готово! Вы стали менеджером партнёра.","Success! You are now a partner manager."
"join_partner.title","Присоединиться как менеджер партнёра","Join as Partner Manager"
"join_platform_manager.code_label","Код приглашения","Invite Code"
"join_platform_manager.info","Менеджеры платформы видят аналитику и статусы, но не могут изменять настройки. Код выдаёт администратор платформы.","Platform managers can view analytics and partner statuses without edit rights. Codes are issued by platform admins."
"join_platform_manager.submit","Присоединиться","Join"
"join_platform_manager.subtitle","Введите код приглашения платформы. Менеджеры получают доступ только для чтения.","Enter the invite code for read-only platform access."
"join_platform_manager.success","Отлично! Вы получили роль менеджера платформы.","Great! You now have platform manager access."
"join_platform_manager.title","Стать менеджером платформы","Become a Platform Manager"
"menu.about_project","О проекте","About Project"
"menu.admin_dashboard","Обзор","Overview"
"menu.admin_partners","Партнеры","Partners"
"menu.create_business","Создать Бизнес","Create Business"
"menu.dashboard","Главная","Dashboard"
"menu.join_partner_manager","Стать менеджером партнёра","Join as Partner Manager"
"menu.join_platform_manager","Стать менеджером платформы","Become Platform Manager"
"menu.logout","Выйти","Logout"
"menu.my_clients","Клиенты","Clients"
"menu.my_points","Торговые точки","Trading Points"
"menu.profile","Профиль","Profile"
"menu.settings","Настройки","Settings"
"menu.staff","Сотрудники","Staff"
"menu.support_chat","Поддержка","Support"
"menu.support_inbox","Чат с партнёрами","Partner Inbox"
"menu.switch_role","Сменить роль","Switch Role"
"menu.title","Консоль","Console"
"menu.transactions","История","History"
"not_found.subtitle","Возможно, ссылка устарела или страница была удалена.","The link might be outdated or the page has been moved."
"not_found.title","Страница не найдена","Page not found"
"not_found.to_login","На страницу входа","Back to Login"
"not_found.to_profile","В профиль","Go to Profile"
"pin_reset.submit","Сменить PIN","Update PIN"
"pin_reset.subtitle","Мы отправили ссылку на почту. Если письмо не пришло, проверьте спам.","We sent a link to your email. Check spam if you can't find it."
"pin_reset.success","PIN обновлён. Вы можете войти заново.","PIN updated. You can sign in again."
"pin_reset.title","Сброс PIN","Reset PIN"
"pin_reset.token_label","Токен из письма","Token from email"
"pin_reset.token_required","Укажите токен из письма","Please provide the token from your email"
"point_details.address_label","Адрес","Address"
"point_details.award_mixed_hint","Если клиент списывает бонусы и доплачивает деньгами — начислять кешбэк на денежную часть","Accrue bonuses on the cash portion even if the client redeems points"
"point_details.award_mixed_label","Начислять кешбэк при смешанной оплате","Award cashback on mixed payment"
"point_details.block_title","Детали","Details"
"point_details.burn_bonuses","Срок жизни бонусов (дней)","Points Expiration (days)"
"point_details.cashback_rule_hint","Кешбэк начисляется по уровню клиента только на денежную часть платежа. При списании баллов учитывается оставшаяся сумма.","Cashback is based on the client tier and only on the money part of the payment. When points are spent we use the remaining amount."
"point_details.confirm_delete","Вы уверены? Это действие необратимо.","Are you sure? This action is irreversible."
"point_details.coords_required","Укажите координаты (широту и долготу)","Latitude and longitude are required"
"point_details.country_label","Страна","Country"
"point_details.days","дн.","days"
"point_details.delete_point","Удалить точку","Delete Branch"
"point_details.downgrade_tier","Срок до сброса уровня (дней)","Tier Reset (days)"
"point_details.edit_forbidden","Только владелец бизнеса может изменять или удалять точку.","Only the business owner can modify or delete a point."
"point_details.edit_on_map","Изменить на карте","Edit on map"
"point_details.fire_cashier","Уволить","Fire"
"point_details.invite_code","Код для кассира","Cashier Invite Code"
"point_details.latitude_label","Широта","Latitude"
"point_details.levels_config","Настройка Уровней","Levels Configuration"
"point_details.location_selected","Локация выбрана на карте","Location selected from map"
"point_details.longitude_label","Долгота","Longitude"
"point_details.lvl_name","Название","Name"
"point_details.lvl_percent","Кешбэк (%)","Cashback (%)"
"point_details.lvl_threshold","Порог (сумма)","Threshold"
"point_details.map_dialog_title","Выбор расположения","Choose Location"
"point_details.map_hint","Нажмите на карту, чтобы выбрать координаты. Адрес можно отредактировать вручную.","Click on the map to select coordinates. You can edit the address manually afterwards."
"point_details.map_location","Местоположение на карте","Map Location"
"point_details.map_required","Пожалуйста, укажите точное расположение на карте","Please provide a location using the map"
"point_details.max_burn_hint","Сколько процентов от чека можно покрыть бонусами (0-100)","What percentage of the bill can be paid with points (0-100)"
"point_details.max_burn_label","Макс. % оплаты баллами","Max Points Payment %"
"point_details.overview_currency","Валюта","Currency"
"point_details.overview_program","Программа","Program"
"point_details.overview_status","Статус","Status"
"point_details.overview_type","Тип","Type"
"point_details.readonly_hint","Вы работаете как менеджер: действия по изменению настроек и увольнению сотрудников недоступны.","You are in manager mode — editing settings and firing staff is disabled."
"point_details.save_settings","Сохранить настройки","Save Settings"
"point_details.search_button","Поиск","Search"
"point_details.search_error","Не удалось выполнить поиск адреса","Unable to search address"
"point_details.search_not_found","Ничего не найдено для запроса","Nothing found for this query"
"point_details.search_placeholder","Введите адрес или место","Enter address or place"
"point_details.select_on_map","Указать на карте","Select on map"
"point_details.selected_address","Выбранный адрес","Selected address"
"point_details.staff_empty","Кассиров пока нет","No cashiers yet"
"point_details.status_active","Активен","Active"
"point_details.status_inactive","Не активен","Inactive"
"point_details.tab_overview","Обзор","Overview"
"point_details.tab_settings","Настройки","Settings"
"point_details.tab_staff","Персонал","Staff"
"point_details.title","Управление Филиалом","Branch Management"
"profile.current_role","Текущая","Current"
"profile.email_label","E-mail","E-mail"
"profile.freeze_alert","Аккаунт заморожен до {{date}}. Изменения временно недоступны.","Account is frozen until {{date}}. Changes are temporarily unavailable."
"profile.id_label","ID Пользователя (нажмите для копирования)","User ID (Click to copy)"
"profile.join_section","Дополнительные действия","Additional actions"
"profile.language_saved","Язык сохранён","Language updated"
"profile.my_workspaces","Мои рабочие области","My Workspaces"
"profile.name_label","Имя","Name"
"profile.no_workspaces","Рабочие области не найдены","No workspaces found"
"profile.phone_label","Телефон","Phone"
"profile.pin_change_btn","Сменить PIN","Change PIN"
"profile.pin_change_success","PIN успешно обновлён","PIN updated successfully"
"profile.pin_confirm_error","PIN и подтверждение не совпадают","PIN and confirmation do not match"
"profile.pin_confirm_label","Подтверждение PIN","Confirm PIN"
"profile.pin_current_label","Текущий PIN","Current PIN"
"profile.pin_email_hint","Добавьте e-mail и сохраните профиль, чтобы запросить сброс.","Add email to your profile to request a reset."
"profile.pin_length_error","PIN должен содержать 4-12 цифр","PIN must contain 4-12 digits"
"profile.pin_new_label","Новый PIN","New PIN"
"profile.pin_protected","Защищено PIN","PIN protected"
"profile.pin_reset_btn","Отправить ссылку для сброса PIN","Send PIN reset link"
"profile.pin_reset_confirm","Сбросить PIN? Все действия будут заблокированы на 24 часа.","Reset PIN? All actions will be blocked for 24 hours."
"profile.pin_reset_email_sent","Ссылка для сброса PIN отправлена на e-mail","PIN reset link sent to your email"
"profile.pin_reset_success","PIN сброшен. Аккаунт заморожен на 24 часа.","PIN reset. Account is frozen for 24 hours."
"profile.pin_section_title","Управление PIN владельца","Owner PIN management"
"profile.save_btn","Сохранить изменения","Save Changes"
"profile.switch_role","Перейти","Switch"
"profile.switched_success","Переключено на {{name}}","Switched to {{name}}"
"profile.title","Мой Профиль","My Profile"
"select_role.subtitle","Роли определяют набор доступных разделов и прав. Выберите актуальную задачу.","Each role unlocks its own dashboard sections. Pick the workspace you want to work with."
"select_role.title","Выберите рабочее пространство","Select workspace"
"settings.color_helper","Этот цвет будет отображаться на карте клиента","This color will be displayed on the client card"
"settings.color_label","Фирменный цвет","Brand Color"
"settings.expiration_hint","Правила сгорания настраиваются здесь и действуют на всю сеть.","Expiration rules are configured here and apply to all branches."
"settings.expiration_policy","Политика сгорания (для всех точек)","Expiration Policy (Global)"
"settings.logo_label","Ссылка на логотип","Logo URL"
"settings.name_label","Название бренда","Brand Name"
"settings.save_success","Настройки успешно сохранены","Settings saved"
"settings.title","Настройки Бизнеса","Business Settings"
"staff.active","Активен","Active"
"staff.cashiers","Кассиры","Cashiers"
"staff.confirm_fire","Вы уверены, что хотите уволить этого сотрудника?","Are you sure you want to fire this employee?"
"staff.empty_cashiers","Кассиров пока нет","No cashiers yet"
"staff.empty_managers","Менеджеров пока нет","No managers yet"
"staff.fire","Уволить","Fire"
"staff.generate_btn","Сгенерировать код","Generate Code"
"staff.invite_hint","Отправьте этот код сотруднику, чтобы он присоединился как Менеджер:","Send this code to the employee to join as a Manager:"
"staff.invite_manager","Пригласить менеджера","Invite Manager"
"staff.managers","Менеджеры","Managers"
"staff.multi_points","{{count}} Точки","{{count}} Points"
"staff.name","Имя","Name"
"staff.phone","Телефон","Phone"
"staff.role","Роль","Role"
"staff.role_cashier","Кассир","Cashier"
"staff.role_manager","Менеджер","Manager"
"staff.title","Управление Персоналом","Staff Management"
"support.admin_title","Диалоги партнёров","Partner Dialogs"
"support.empty_state","Сообщений пока нет","No messages yet"
"support.no_messages","Пока без сообщений","No messages yet"
"support.no_threads","Диалогов пока нет","No conversations yet"
"support.partner_hint","Задайте вопрос команде платформы — ответ придёт сюда же.","Ask the platform team any question — the reply will appear here."
"support.partner_hint_secondary","Все ответы приходят в этот чат. Не закрывайте страницу, чтобы увидеть их мгновенно.","All replies arrive in this chat. Keep the page open to see them instantly."
"support.partner_title","Чат с поддержкой платформы","Chat with platform support"
"support.placeholder","Введите сообщение...","Type a message..."
"support.select_thread","Выберите диалог, чтобы просмотреть историю","Select a conversation to view history"
"support.send","Отправить","Send"
"support.sent","Сообщение отправлено","Message sent"
"support.thread_id","Диалог #{{id}}","Thread #{{id}}"
"support.validation_empty","Сообщение не может быть пустым","Message cannot be empty"
